	log2FoldChange	fdr
HBA2	-8.65977039926125	0.781971543404108
HBA1	-7.66403999409364	0.173522611674836
MEG3	-7.11320327727711	0.878384113662773
MYLK	-6.41930640500278	0.500685896573415
TMCC3	-5.50176856519475	0.000512725470688
ENC1	-5.13919848581005	0.031762450226873
LAMB1	-5.03228328189354	0.615093199281562
EFNA3	-4.9168060644736	0.548749656580368
CNN3	-4.50176856519476	0.333198895357454
NID1	-4.50176856519476	1
LAMB2	-4.50176856519476	1
PALLD	-4.33184356375245	0.028098845073707
PHF7	-4.33184356375245	1
NID2	-4.33184356375245	1
FBXL22	-4.13919848581005	0.790737599028668
SERPINF1	-4.13919848581005	0.790737599028668
CSTA	-4.13919848581005	1
ZFP69B	-3.9168060644736	0.800630312045328
FCGR2B	-3.9168060644736	0.800630312045328
CCDC80	-3.9168060644736	0.800630312045328
PLD1	-3.9168060644736	0.800630312045328
NME8	-3.9168060644736	0.800630312045328
AL450326.1	-3.9168060644736	0.800630312045328
LRP6	-3.9168060644736	0.800630312045328
PAK6	-3.9168060644736	0.800630312045328
LAMA4	-3.9168060644736	1
ALDH1A1	-3.9168060644736	1
WDR66	-3.9168060644736	1
COL6A1	-3.83434390428163	0.695007834273793
RBP1	-3.79127518238974	0.107518259897266
C1R	-3.72416098653121	0.241472317197323
LRP1	-3.65377165863981	0.965067369219579
ERRFI1	-3.65377165863981	1
EMILIN1	-3.65377165863981	1
SNHG18	-3.65377165863981	1
ENPP5	-3.65377165863981	1
BNC2	-3.65377165863981	1
ANG	-3.65377165863981	1
CAVIN1	-3.65377165863981	1
DSEL	-3.65377165863981	1
COL4A1	-3.65377165863981	1
TAGLN	-3.50176856519476	0.003532354822741
ACSM3	-3.50176856519476	0.643585999513349
NAP1L2	-3.50176856519476	0.643585999513349
CES1	-3.50176856519476	1
IGFBP5	-3.44732078117238	0.686972809928314
MGP	-3.33184356375244	0.445949849608539
AC116366.3	-3.33184356375244	0.65385139064017
RBPMS	-3.33184356375244	0.65385139064017
RDH10	-3.33184356375244	0.65385139064017
TCTN1	-3.33184356375244	1
TDRD15	-3.33184356375244	1
OR4D1	-3.33184356375244	1
FBLIM1	-3.33184356375244	1
IQCC	-3.33184356375244	1
WLS	-3.33184356375244	1
RGS5	-3.33184356375244	1
MAPRE3	-3.33184356375244	1
ACOX2	-3.33184356375244	1
FILIP1L	-3.33184356375244	1
ARHGEF26	-3.33184356375244	1
APBB2	-3.33184356375244	1
HIST1H4F	-3.33184356375244	1
AL645933.2	-3.33184356375244	1
GSTA4	-3.33184356375244	1
HOXA9	-3.33184356375244	1
VIPR2	-3.33184356375244	1
DMD	-3.33184356375244	1
ZNF704	-3.33184356375244	1
KANK1	-3.33184356375244	1
CDC37L1-AS1	-3.33184356375244	1
ABO	-3.33184356375244	1
ME3	-3.33184356375244	1
PLXDC2	-3.33184356375244	1
EMP1	-3.33184356375244	1
EPS8	-3.33184356375244	1
FAM109A	-3.33184356375244	1
PELI2	-3.33184356375244	1
CDC42BPB	-3.33184356375244	1
GNAO1	-3.33184356375244	1
MYH10	-3.33184356375244	1
PCGF2	-3.33184356375244	1
TTYH2	-3.33184356375244	1
AC245060.6	-3.33184356375244	1
ROR2	-3.33184356375244	1
MAP3K9	-3.33184356375244	1
BTNL9	-3.33184356375244	1
HIST1H4L	-3.33184356375244	1
MEST	-3.33184356375244	1
COX7A1	-3.33184356375244	1
PVR	-3.33184356375244	1
PPP5D1	-3.33184356375244	1
COL6A2	-3.29336941593781	0.004007629284398
DUSP8	-3.23873415936096	0.130873578350412
MLC1	-3.20631268166859	0.470515985412392
CALD1	-3.17984047030739	0.149438003487454
CAV2	-3.13919848581004	1
SLCO4C1	-3.13919848581004	1
RIMKLB	-3.13919848581004	1
EIF3C	-3.06880915791865	0.479649811764642
CKB	-3.06880915791865	1
DPYSL3	-3.06880915791865	1
TPM2	-3.03228328189353	0.016844951050915
EVA1C	-2.9168060644736	0.334201274065699
CXCR1	-2.9168060644736	0.927840008879169
FHL2	-2.9168060644736	0.962374016731916
SPATA6	-2.9168060644736	1
EPHX1	-2.9168060644736	1
FKBP7	-2.9168060644736	1
SLC12A7	-2.9168060644736	1
TBC1D32	-2.9168060644736	1
GJA1	-2.9168060644736	1
HOXA10	-2.9168060644736	1
FHL1	-2.9168060644736	1
PDZD4	-2.9168060644736	1
TRIM32	-2.9168060644736	1
LBHD1	-2.9168060644736	1
LCMT2	-2.9168060644736	1
SMTN	-2.9168060644736	1
ENAH	-2.9168060644736	1
RND3	-2.9168060644736	1
AMOTL2	-2.9168060644736	1
SYNPO	-2.9168060644736	1
HIST1H4A	-2.9168060644736	1
PTPRK	-2.9168060644736	1
TMEM176A	-2.9168060644736	1
SNAI2	-2.9168060644736	1
BDNF	-2.9168060644736	1
NOTCH3	-2.9168060644736	1
TKTL1	-2.81727039092268	1
DHRS13	-2.81727039092268	1
NR2F2	-2.79127518238974	1
DNAH1	-2.74688106303129	0.948296299096777
GOLM1	-2.74688106303129	0.948296299096777
BAHD1	-2.74688106303129	0.948296299096777
PHLPP2	-2.74688106303129	0.948296299096777
THBS1	-2.74688106303129	0.994494866322609
CMYA5	-2.74688106303129	1
CYP11A1	-2.74688106303129	1
P4HA3	-2.74688106303129	1
PPP1R14A	-2.71035518700617	0.490120224514297
DCN	-2.68548051836714	0.319365373529968
COL3A1	-2.68331593425382	0.028098845073707
FEZ1	-2.65377165863981	0.69799918198525
MRC2	-2.65377165863981	1
PTPN14	-2.65377165863981	1
ACTR3B	-2.65377165863981	1
IGFBP7	-2.59487796958624	9.34252741631419E-05
AKAP12	-2.59487796958624	1
FZD3	-2.59487796958624	1
WDR19	-2.59487796958624	1
SLC39A8	-2.59487796958624	1
NME4	-2.5542359850889	0.907409362147916
PCSK5	-2.5542359850889	1
PCOLCE	-2.5542359850889	1
SPARC	-2.54596836910529	0.038019732457305
AKR1C3	-2.54334766894616	0.140340711558503
COL6A3	-2.53829444121987	0.708932739086399
ACTA2	-2.53666335564094	4.32929488212319E-07
WWOX	-2.52448864169484	0.444073447124141
RNF144A	-2.50176856519476	1
PPP1R13B	-2.50176856519476	1
PEG10	-2.50176856519476	1
RNF165	-2.46934708750238	0.913467265248885
GSTM3	-2.33184356375245	0.68443868506012
C17orf97	-2.33184356375245	1
TCTE3	-2.33184356375245	1
TEAD1	-2.33184356375245	1
NUAK2	-2.33184356375245	1
HOXC4	-2.33184356375245	1
L2HGDH	-2.33184356375245	1
IBA57	-2.33184356375245	1
SLC40A1	-2.33184356375245	1
COQ3	-2.33184356375245	1
ST8SIA6	-2.33184356375245	1
ZNF70	-2.33184356375245	1
FAM117B	-2.33184356375245	1
CMKLR1	-2.33184356375245	1
CLIC4	-2.33184356375245	1
EXO5	-2.33184356375245	1
AMY2B	-2.33184356375245	1
SOX13	-2.33184356375245	1
TMEM237	-2.33184356375245	1
ARL6	-2.33184356375245	1
DCBLD2	-2.33184356375245	1
RGS12	-2.33184356375245	1
AC104825.2	-2.33184356375245	1
FAM184B	-2.33184356375245	1
SPARCL1	-2.33184356375245	1
P4HA2	-2.33184356375245	1
GNMT	-2.33184356375245	1
