	log2FoldChange	fdr
SPARCL1	-8.95232524515336	0.100024279600575
PDGFRB	-7.87432273315209	0.013672395861882
NID1	-7.87432273315209	0.013672395861882
CCDC80	-7.79186057296012	0.23126441513422
MTUS1	-7.51175265376738	0.015245766413422
FBLN1	-7.51175265376738	0.085407081184612
NR2F1	-7.51175265376738	0.169382959345563
NR2F2	-7.44136332587598	0.01534943213551
PMP22	-7.40483744985087	0.144478265321977
SNHG18	-7.28936023243093	0.015382342852925
CFH	-7.28936023243093	0.018185421396688
STAR	-7.28936023243093	0.187628493280964
COL15A1	-7.28936023243093	0.187628493280964
STC1	-7.28936023243093	0.341992629089018
MATN2	-7.28936023243093	0.739591316371373
THBS1	-7.18982455888002	0.111742011896741
CTGF	-7.15690993640728	0.005666424982379
MEG3	-7.08290935496351	0.057140054472261
COLEC11	-7.02632582659714	0.143956108457503
LOXL2	-7.02632582659714	0.199541475192649
ALDH1A1	-7.02632582659714	0.199541475192649
GATA6	-7.02632582659714	0.199541475192649
KANK2	-7.02632582659714	0.199541475192649
OLFML2B	-7.02632582659714	0.925061425064537
GAS1	-7.02632582659714	0.925061425064537
MIR99AHG	-7.02632582659714	0.925061425064537
PTCH1	-7.02632582659714	0.925061425064537
COL1A1	-6.99884509017503	0
MGP	-6.97741622611619	0.006582702636701
COL3A1	-6.87671328057708	2.96687489390971E-10
TUBB6	-6.87432273315209	0.168823544921453
DCN	-6.74287187952441	5.73765413309545E-07
COL1A2	-6.72505720227587	0
FKBP10	-6.70439773170978	0.201983033450433
GRB10	-6.70439773170978	0.201983033450433
PDK4	-6.70439773170978	0.201983033450433
FEZ1	-6.70439773170978	0.201983033450433
PHLDB1	-6.70439773170978	0.201983033450433
DDR2	-6.70439773170978	0.201983033450433
FSTL1	-6.70439773170978	0.201983033450433
MEIS2	-6.70439773170978	0.201983033450433
PALMD	-6.70439773170978	0.201983033450433
NXN	-6.70439773170978	0.201983033450433
COX7A1	-6.70439773170978	0.201983033450433
P3H2	-6.70439773170978	0.201983033450433
DAB1	-6.70439773170978	1
MAPK12	-6.70439773170978	1
TMOD2	-6.70439773170978	1
FBN1	-6.70439773170978	1
DEPTOR	-6.70439773170978	1
GLIPR1L2	-6.70439773170978	1
CAV2	-6.70439773170978	1
ANGPTL4	-6.70439773170978	1
OGN	-6.55239463826473	0.191522270477673
PLPP3	-6.44136332587598	0.266465003732528
RHOBTB3	-6.28936023243093	0.297938601355445
ZNF704	-6.28936023243093	0.297938601355445
CDC42EP2	-6.28936023243093	1
PDLIM3	-6.28936023243093	1
CNN1	-6.28936023243093	1
ADAMTS4	-6.28936023243093	1
GGT5	-6.28936023243093	1
AL512329.2	-6.28936023243093	1
LSAMP	-6.28936023243093	1
TSKU	-6.28936023243093	1
SDK2	-6.28936023243093	1
MFAP2	-6.28936023243093	1
OLFML3	-6.28936023243093	1
AKAP12	-6.28936023243093	1
SFRP1	-6.28936023243093	1
DHRS2	-6.28936023243093	1
MEG8	-6.28936023243093	1
EHD2	-6.28936023243093	1
GPRC5A	-6.18982455888002	0.586654528376485
COL6A2	-6.18083577565276	0.005525814714693
SERPINF1	-6.15690993640728	0.035336926850513
RBP1	-6.13735713898589	0.001364260923201
COL4A2	-6.02632582659713	0.052926305284952
DPYSL3	-6.02632582659713	1
C3	-5.92679015304622	3.66059568583192E-05
LAMP5	-5.92679015304622	0.338623188182561
JUP	-5.70439773170978	0.057140054472261
GNG11	-5.70439773170978	0.072914691741449
IGF1	-5.70439773170978	0.353953610156692
