	log2FoldChange	fdr
CCL4	-3.96596212418414	1
IGLC2	-3.92433573006793	0.201855181757378
NOP10	-3.03981294748786	1
PSMB3	-2.98589040058457	1
COX5A	-2.9390572357747	1
IGHG3	-2.90384520428014	1
COX17	-2.86003723657356	1
HNRNPD	-2.72427318056305	1
HIST1H4C	-2.71146811092864	1
NDUFS6	-2.68769282312553	1
HLA-DQA1	-2.67894919005356	1
DOCK8	-2.65462731831083	1
CD82	-2.59080101553258	1
ATP6V1F	-2.5767486800091	1
CXCR6	-2.56017939979126	1
IFI27	-2.54197178131859	1
FABP5	-2.53375127451362	1
SKAP1	-2.51912924014878	1
EVI2B	-2.51912924014878	1
SSU72	-2.51422210942837	1
BUB3	-2.51176227074056	1
TRAT1	-2.4894329249638	1
HNRNPM	-2.48442356215005	1
GOLGA4	-2.47939674507522	1
IGKC	-2.47407158977682	0.021806136176937
COX14	-2.466752535823	1
NOL7	-2.43853893365835	1
PSMC5	-2.43853893365835	1
PSMB2	-2.41766775532352	1
DDX18	-2.39382101336915	1
CXCL13	-2.39197731338546	1
EIF3D	-2.38309460677609	1
LINC01871	-2.37093129784942	1
UBE2N	-2.36139953567677	1
IGLC3	-2.35866456795553	1
PSMB6	-2.35592440561062	1
SAP18	-2.34075976961773	1
SNRPD1	-2.33102588663325	1
AP2S1	-2.31982043192537	1
SHISA5	-2.31135885317718	1
KIF5B	-2.30852726239401	1
NDUFB10	-2.30852726239401	1
RANBP1	-2.29714499395748	1
DIAPH1	-2.28854897026909	1
C8orf59	-2.27990142165557	1
PPM1G	-2.2770073483864	1
GTF2A2	-2.27120172670519	1
GSDMD	-2.27120172670519	1
SELENOT	-2.23586865359291	1
IGHG4	-2.23288479515409	1
UBE2B	-2.22689850008836	1
LAP3	-2.22389601192684	1
WDR1	-2.2208872620545	1
STAT1	-2.18325402742949	1
MBD2	-2.16875445773438	1
SSNA1	-2.15620920441526	1
IKZF3	-2.15410768176997	1
PGK1	-2.12274928846994	1
PTMS	-2.12113643750163	1
SIRPG	-2.11790531623862	1
SSR2	-2.10816830487334	1
NDUFV2	-2.10327504396678	1
DBI	-2.09508254585368	1
CCDC167	-2.09508254585368	1
HSBP1	-2.09179247591949	1
POLR3GL	-2.08849488581891	1
GHITM	-2.08518974109524	1
SLA	-2.08187700705441	1
DCTN3	-2.07522863104504	1
CNN2	-2.07189291848179	1
WAS	-2.05509767593881	1
NMB	-2.05509767593881	1
PPA1	-2.05171503654415	1
SSBP4	-2.04151926943827	1
RAB8A	-2.04151926943827	1
ZNRD1	-2.0243645483992	1
DNAJB14	-2.0243645483992	1
CHCHD1	-2.01744513445941	1
SNRNP70	-2	1
ANXA7	-2	1
PGAM1	-1.98411695839334	1
SNRPC	-1.98234133350349	1
CTLA4	-1.9787835140903	1
PPP1R7	-1.9787835140903	1
IFI16	-1.96908211289801	1
GALM	-1.96805710749725	1
PLA2G16	-1.96805710749725	1
LGALS3	-1.96566259235687	1
SNW1	-1.96446384277324	1
TUBB	-1.96446384277324	1
TAPBP	-1.9590571092463	1
OCIAD1	-1.95000061346128	1
MRPL52	-1.94636203639793	1
CARHSP1	-1.93905723577469	1
CYSLTR1	-1.93905723577469	1
CCL4L2	-1.93539091857693	1
IAH1	-1.92803021362567	1
PLEC	-1.92433573006793	1
DNAJC15	-1.92433573006793	1
RAD23A	-1.91691825850544	1
PUF60	-1.91319517246273	1
HLA-DRA	-1.90280256851828	1
VPS13C	-1.90196791703947	1
ERH	-1.90008818382125	1
SFXN1	-1.89443424435407	1
LIMD2	-1.8914097253409	1
ZC3HAV1	-1.89065260381164	1
PIN1	-1.88305945448941	1
IL16	-1.87924784053939	1
TMEM160	-1.86389987620595	1
STMP1	-1.85616422742635	1
ERP29	-1.85422381685692	1
FAM89B	-1.85357643293719	1
ANP32E	-1.85228079293912	1
PLEKHO1	-1.84448242237871	1
ZCRB1	-1.84448242237871	1
PSMG2	-1.83664166916153	1
ASH1L	-1.83664166916153	1
CAPZA1	-1.8287580700857	1
CD164	-1.8287580700857	1
CCND2	-1.82678042064526	1
FMNL1	-1.82678042064526	1
COX7B	-1.826384565233	1
ANKRD13D	-1.82480005651701	1
HLA-DMA	-1.82480005651701	1
ARAP2	-1.82083115431407	1
HIGD2A	-1.80484545014137	1
PDCD1	-1.80484545014137	1
NMT1	-1.80484545014137	1
GNG2	-1.80484545014137	1
DDX60	-1.80082119358257	1
SEC61G	-1.79759368655218	1
SELENOS	-1.79678568034742	1
EPSTI1	-1.7880999524812	1
TRBC1	-1.78732535109835	1
BATF	-1.78257182112771	1
CLPP	-1.7805297895895	1
ITK	-1.7805297895895	1
FAM118A	-1.77848486360447	1
CYTOR	-1.75994891216705	1
P4HB	-1.75994891216705	1
XRN1	-1.75994891216705	1
MRPS18C	-1.75994891216705	1
WDR82	-1.75579726889658	1
RBMS1	-1.75163364395504	1
PRR13	-1.74327017102042	1
C14orf119	-1.74327017102042	1
JPX	-1.74327017102042	1
UGP2	-1.74327017102042	1
ATP5G3	-1.73907018249113	1
LPXN	-1.72639635245602	1
COPS9	-1.72214687945466	1
CDC42SE2	-1.72214687945466	1
PLIN2	-1.71361019750018	1
TMEM243	-1.70932283909708	1
LIMA1	-1.70932283909708	1
GPX1	-1.70645750540269	1
FKBP3	-1.70502270166345	1
SNX6	-1.6985483675029	1
EWSR1	-1.69638378338958	1
PARP1	-1.69204484766524	1
ARF5	-1.69204484766524	1
LRPAP1	-1.68769282312553	1
MRPS36	-1.68769282312553	1
LYST	-1.68769282312553	1
CCDC90B	-1.68332763056413	1
TMEM258	-1.67894919005356	1
NDUFA13	-1.6760228299409	1
CANX	-1.6745574209364	1
SSB	-1.67162212991185	1
NSD1	-1.6701522418164	1
CD247	-1.66720796520086	1
TMEM179B	-1.66130132423413	1
LMAN1	-1.66130132423413	1
EIF2AK2	-1.65863542564823	1
SLFN5	-1.65537040101635	1
THEMIS	-1.65239577101224	1
FBXW5	-1.65239577101224	1
PPP1R14B	-1.65239577101224	1
DYNLRB1	-1.64792229443293	1
SP110	-1.64612901260989	1
POLR2I	-1.64343490344062	1
UQCRFS1	-1.64343490344062	1
IRF2	-1.64343490344062	1
BTG3	-1.64343490344062	1
DEGS1	-1.62988837160267	1
CCT6A	-1.62988837160267	1
TADA3	-1.62534444645772	1
RICTOR	-1.62534444645772	1
NMI	-1.62382661881547	1
DYNLT1	-1.62306710574666	1
LENG8	-1.62078616449542	1
ST8SIA4	-1.6162134347056	1
ABHD17A	-1.6139216231976	1
GBP1	-1.6139216231976	1
BRK1	-1.61162616520995	1
TRAPPC1	-1.61162616520995	1
TMED4	-1.61162616520995	1
FNBP4	-1.61162616520995	1
CWC15	-1.60855986216216	1
ILF3	-1.60702426325093	1
MIEN1	-1.60702426325093	1
ZAP70	-1.60240763518057	1
HSPB11	-1.59312982159255	1
TOX	-1.59312982159255	1
CCNDBP1	-1.59002391072473	1
CFDP1	-1.58846844422269	1
BCL11B	-1.5869112988574	1
SIRT7	-1.58379195701322	1
DEK	-1.58222975324293	1
PPCS	-1.5791002616885	1
METTL8	-1.5791002616885	1
METTL9	-1.56967084876857	1
SUZ12	-1.56967084876857	1
ACAP1	-1.5649329297619	1
TMEM167A	-1.5649329297619	1
CCDC91	-1.56017939979127	1
MRPL20	-1.55779674848028	1
ZMYM2	-1.55062509307802	1
ARRDC3	-1.55062509307802	1
RAP1A	-1.5482265970295	1
PPP1R35	-1.5458241068142	1
JPT1	-1.54389922988971	1
RHOA	-1.5434176091071	1
NT5C	-1.54100709051642	1
SURF4	-1.53617393678048	1
ALOX5AP	-1.53548216259274	1
SUMO1	-1.52889371086432	1
ISG15	-1.52798109404471	1
RNMT	-1.52645878194727	1
PSMD14	-1.52645878194727	1
TSTA3	-1.52645878194727	1
PSMB10	-1.52157656056752	1
NDUFB3	-1.51912924014878	1
RALGDS	-1.51667776115468	1
DSTN	-1.51667776115468	1
CYFIP2	-1.51176227074057	1
SMS	-1.51176227074057	1
RBM17	-1.50682997519833	1
RALA	-1.50682997519833	1
ZNF207	-1.50353238509776	1
HLA-F	-1.50311965585996	1
HOXB2	-1.5018807592266	1
RARRES3	-1.49872239509225	1
GIMAP2	-1.49691450633325	1
COMMD8	-1.49691450633325	1
GBP2	-1.4894329249638	1
EIF4E2	-1.48693041776063	1
CD74	-1.4837961670365	1
STOML2	-1.481912342994	1
PKN1	-1.481912342994	1
BBX	-1.481912342994	1
SDF2	-1.47687675309671	1
ANXA6	-1.47435235168116	1
RABGAP1L	-1.47350990199831	1
UQCR11	-1.47238586996569	1
CNPY3	-1.47182352537042	1
TYMP	-1.4706548780478	1
COTL1	-1.46859859498837	1
TNFSF14	-1.466752535823	1
SLC25A3	-1.46505823728312	1
ISCA2	-1.4616636591502	1
C12orf75	-1.4616636591502	1
TMEM259	-1.45655676871711	1
SSBP1	-1.45450894006825	1
TMED9	-1.45314210430435	1
ANAPC5	-1.45143173653924	1
NDUFA11	-1.44834795544158	1
ACP1	-1.44628843326328	1
PLK3	-1.44628843326328	1
CLNS1A	-1.44284934929651	1
COMMD6	-1.44112672814751	1
VDAC1	-1.44112672814751	1
ITPA	-1.44112672814751	1
DGKZ	-1.43940204767804	1
SNX17	-1.43594648904182	1
H2AFJ	-1.43594648904182	1
SNRPB2	-1.43178886356817	1
HIF1A	-1.42552987309649	1
PSMC3	-1.42029322473034	1
ST8SIA1	-1.42029322473034	1
HEBP2	-1.41503749927884	1
ITGAL	-1.41240243911087	1
EIF5B	-1.41240243911087	1
UBA2	-1.40976255723817	1
