	log2FoldChange	fdr
GZMK	-3.72088585449834	1
IGKC	-3.69848957892901	0
GIGYF1	-3.4630880970307	0.143566915997525
GIMAP2	-3.19219157342394	0.007335373479833
WARS	-3.13919848581004	0.576557978575541
APBA3	-3.09939747775207	0.513364970232046
DAZAP1	-3.06880915791865	0.012182165502965
ERCC6L2	-3.03755822393421	0.680883878223017
SF3A2	-3.02698898222402	0.036629832226378
IGHM	-3.02698898222402	0.79563402542945
IFT80	-3.00561533143145	0.646996410160476
SLC25A37	-2.99480857647488	0.681458867598281
KCNK6	-2.90531042563577	0.901090054493593
BOLA1	-2.89372245136056	0.753475999514834
IL7	-2.87026347853657	1
HCFC2	-2.8464167365822	0.855183299238131
ZC3H7B	-2.8464167365822	0.957089489090407
PRAF2	-2.8464167365822	0.957089489090407
CXCL10	-2.83434390428162	0.957089489090407
AKR1B1	-2.82216919033553	0.097768911817639
BCAS1	-2.82216919033553	1
GPAT4	-2.79750713610126	0.902443935114072
CAPN15	-2.79750713610126	1
NDRG3	-2.79750713610126	1
MUTYH	-2.78501619191806	1
LGMN	-2.78501619191806	1
DYRK4	-2.75970510338888	0.957089489090407
PASK	-2.74688106303129	1
DHRS1	-2.73394200732379	1
RAB3IP	-2.70771046575061	1
VPS50	-2.69441364313715	1
RALGAPA2	-2.69441364313715	1
TMEM168	-2.69441364313715	1
GZMB	-2.68846437680597	1
ZCCHC9	-2.68099312737483	0.014933763180162
FAM78A	-2.6719762540174	0.012590791057027
TTL	-2.66744659553688	1
LAG3	-2.65834438842963	0.025131973954435
WDR89	-2.65377165863981	1
MBD3	-2.63996585911478	1
LINC00954	-2.63996585911478	1
IGHG3	-2.63857798499053	3.62624303134182E-10
MUS81	-2.62602666815691	0.190755307505368
UEVLD	-2.62602666815691	1
CUX1	-2.61195148294518	1
OTUD6B	-2.59773762372548	1
BBC3	-2.58338233074841	0.614713268257647
KMT2D	-2.58338233074841	1
MMGT1	-2.58338233074841	1
GLE1	-2.5542359850889	1
DBT	-2.5542359850889	1
GGT1	-2.54685645472329	0.323361085509934
SENP5	-2.53198317824176	0.369121076512804
FBXO38	-2.52448864169484	1
ST3GAL2	-2.52448864169484	1
BRF2	-2.50938174930463	1
UBR7	-2.50938174930463	1
TRAV13-2	-2.50938174930463	1
SESN2	-2.50938174930463	1
ZNF143	-2.50176856519476	0.401937253198382
IGLC2	-2.49944351224851	0
RASSF2	-2.49411499265132	1
GNS	-2.49411499265132	1
JMJD4	-2.49411499265132	1
KPNA5	-2.49411499265132	1
SYNJ1	-2.49411499265132	1
ZNF557	-2.47868495208172	1
TMEM11	-2.46308809703069	0.369121076512804
KIF13B	-2.46308809703069	1
PCNX3	-2.46308809703069	1
NFATC1	-2.46308809703069	1
ZNF121	-2.46308809703069	1
MFSD5	-2.44732078117238	1
FAHD1	-2.44732078117238	1
ZNF512	-2.44732078117238	1
GNPNAT1	-2.44732078117238	1
FAM120B	-2.43137923730336	1
NTRK1	-2.43137923730336	1
SEC24D	-2.41525957194008	1
GTF2H2	-2.41525957194008	1
LRRC8A	-2.38246963682241	1
PCCB	-2.38246963682241	1
MED18	-2.38246963682241	1
ANKS3	-2.36579089567578	1
MTPAP	-2.36579089567578	1
ZNF3	-2.36579089567578	1
COG1	-2.36579089567578	1
PRR7	-2.36579089567578	1
AHSP	-2.36579089567578	1
AHI1	-2.34891707711139	1
TMEM69	-2.33184356375245	1
PDHX	-2.33184356375245	1
INTS14	-2.33184356375245	1
NME7	-2.33184356375245	1
GAN	-2.31456557232061	1
FZR1	-2.31456557232061	1
MIATNB	-2.31456557232061	1
SLC25A46	-2.3058483552195	0.833552717798852
IDE	-2.29707814559177	1
CAMTA2	-2.27937614385831	0.707042920773253
CSTF3	-2.27937614385831	0.789239819833396
SLC22A18	-2.27937614385831	0.835575195685975
CCL5	-2.27491649566761	0.011219148937346
PI4K2B	-2.26145423586105	1
MAN2A2	-2.26145423586105	1
ACAD9	-2.26145423586105	1
CENPT	-2.26145423586105	1
LINC01871	-2.24938140356047	1
IGLC3	-2.24438072250211	4.09047205423815E-05
COPG1	-2.24330688915079	0.930093382509371
LRWD1	-2.22492835983593	1
PITRM1	-2.22492835983593	1
HPS4	-2.21565054624792	1
FAM118A	-2.2107668224122	4.93459661023617E-06
SIN3B	-2.20631268166859	1
SNX12	-2.20631268166859	1
EEF1G	-2.20631268166859	1
ZNF273	-2.20631268166859	1
PGAM5	-2.20631268166859	1
CPD	-2.19691398366633	1
SEC24A	-2.18745365441727	0.982723792113816
CHIC1	-2.18745365441727	1
CXorf56	-2.18745365441727	1
CCDC61	-2.18745365441727	1
ZNF714	-2.18745365441727	1
PITPNM2	-2.18745365441727	1
PRRG4	-2.18745365441727	1
PSMA6	-2.17793088029876	1
LYRM7	-2.17793088029876	1
GABARAP	-2.16834483146956	0.016210962190054
TMEM68	-2.16834483146956	0.933857664123308
ZNF787	-2.16834483146956	0.983076295617062
C12orf76	-2.16834483146956	1
KBTBD4	-2.16834483146956	1
PIEZO1	-2.16191856231013	0.431438218377633
TBL2	-2.14897950660263	1
ZNF197	-2.14897950660263	1
CASP9	-2.14897950660263	1
MRPS28	-2.14246619964396	0.329625013751498
CDIP1	-2.1293506998537	0.176794357438617
VPS13B	-2.1293506998537	1
RRS1	-2.1293506998537	1
RDH13	-2.1293506998537	1
FLVCR2	-2.1293506998537	1
CARMIL2	-2.1293506998537	1
FUT11	-2.1293506998537	1
C16orf54	-2.10945114241599	1
NUP205	-2.10945114241599	1
IKBKB	-2.10051801764599	0.052650122344533
SARNP	-2.09939747775207	1
BANP	-2.09939747775207	1
ARHGEF7	-2.08927326047837	1
CCRL2	-2.08927326047837	1
ANKRD46	-2.08927326047837	1
LYL1	-2.08927326047837	1
YIF1B	-2.07907749337248	1
GOLGA5	-2.06880915791865	1
AAR2	-2.06880915791865	1
HLA-DQA1	-2.06468127229597	1.90682637701486E-06
ZFYVE21	-2.05846721369719	1
KYAT3	-2.04805059775185	1
ZNF770	-2.04805059775185	1
EIF3J-AS1	-2.04805059775185	1
URGCP	-2.04805059775185	1
SLC37A3	-2.04805059775185	1
PGD	-2.04805059775185	1
BFSP2	-2.04805059775185	1
LINC00239	-2.04805059775185	1
SLC25A28	-2.03755822393421	1
LINC00861	-2.03303802689683	0.466727710273431
C12orf49	-2.02698898222402	0.700309609045025
RNF19B	-2.02698898222402	1
SREBF1	-2.02698898222402	1
SLC35C1	-2.02698898222402	1
KCTD18	-2.02698898222402	1
PLEKHN1	-2.02698898222402	1
ESR2	-2.02698898222402	1
POLDIP2	-2.01277512300432	0.583092956787437
CHKB	-2.01277512300432	0.646996410160476
KAT7	-2.01277512300432	0.678552338948076
WDR36	-2.00561533143145	1
POU2F1	-2.00561533143145	1
NFYA	-2.00561533143145	1
ARHGAP11A	-2.00561533143145	1
FBXO31	-2.00561533143145	1
ALG1	-2.00561533143145	1
SLC7A1	-2.00561533143145	1
TAF1B	-1.99480857647487	1
SRBD1	-1.98392026033214	1
OTOF	-1.98392026033214	1
TMEM39B	-1.98392026033214	1
MPI	-1.98392026033214	1
WRB	-1.98392026033214	1
AGO1	-1.98392026033214	1
TMLHE	-1.98392026033214	1
AL031777.3	-1.98392026033214	1
ERAP2	-1.98027248331699	0.053982045354621
IGHA1	-1.9766154597089	0.011209709115871
RFFL	-1.9766154597089	0.707042920773253
VWA5A	-1.96189395400214	1
CPM	-1.96189395400214	1
C2orf68	-1.95075339639694	1
TSPAN3	-1.95075339639694	1
GNG8	-1.95075339639694	1
MED12	-1.93952614097368	1
SLC33A1	-1.93952614097368	1
APOBEC3D	-1.93952614097368	1
NMT2	-1.92821082774585	0.081867387645729
SFXN3	-1.9168060644736	1
H6PD	-1.9168060644736	1
TXNL4B	-1.9168060644736	1
PPP1R37	-1.9168060644736	1
Z97192.1	-1.9168060644736	1
APH1B	-1.9168060644736	1
HECTD3	-1.9168060644736	1
C1orf123	-1.91106969492446	0.406611319861685
SMAD7	-1.90531042563577	1
SLC44A1	-1.89372245136056	1
CLK2	-1.89372245136056	1
ZNF184	-1.89372245136056	1
NAIP	-1.89372245136056	1
TTC27	-1.89372245136056	1
HIBADH	-1.89372245136056	1
