	log2FoldChange	fdr
PEG3	-7.44737846718907	0.066973488533742
HBA2	-6.01441905991296	0.749520449800513
NID2	-5.86241596646791	0.066469053449703
GNG11	-5.6924909650256	0.408539786199462
MYH10	-5.6924909650256	0.671697797270082
LINC00310	-5.6924909650256	1
NID1	-5.4998458870832	1
FEZ1	-5.27745346574676	1
MT1H	-5.27745346574676	1
CARMN	-5.27745346574676	0.490894571600875
LAMA4	-5.17791779219584	0.892034373807702
SMOC2	-5.01441905991296	2.69481318468787E-05
IL4	-5.01441905991296	1
INTU	-5.01441905991296	1
PLA2R1	-5.01441905991296	0.65201346881215
ANTXR1	-5.01441905991296	0.892034373807702
FBN1	-4.86241596646792	1
NR2F2	-4.762880292917	0.000102975757966
GATM	-4.6924909650256	1
TM4SF18	-4.6924909650256	1
C11orf96	-4.6924909650256	0.006536462165843
STOX1	-4.6924909650256	1
SIGLEC11	-4.6924909650256	1
GSTA1	-4.6924909650256	1
DSCAML1	-4.6924909650256	1
MPV17L	-4.6924909650256	1
GNMT	-4.6924909650256	1
IGF1	-4.6924909650256	1
TRIM34	-4.6924909650256	1
GREB1L	-4.6924909650256	1
PCDH9	-4.6924909650256	1
MPDZ	-4.6924909650256	1
CNTN1	-4.6924909650256	1
CDC42EP2	-4.6924909650256	0.366422872002678
MRAS	-4.6924909650256	1
RHOJ	-4.6924909650256	1
MATN2	-4.56696008294174	1
COL15A1	-4.49984588708321	1
PLPP3	-4.42945655919181	1
CPXM1	-4.42945655919181	0.152668778289437
MEG3	-4.35545597774803	9.44740907470577E-05
HOXD9	-4.27745346574676	4.12519187154891E-06
SH3RF1	-4.27745346574676	1
TJP1	-4.27745346574676	1
AL451060.1	-4.27745346574676	1.06681849571146E-05
EGFL7	-4.27745346574676	7.60051035113358E-05
RHOBTB3	-4.27745346574676	0.671697797270082
FBN2	-4.27745346574676	1
PKDCC	-4.27745346574676	1
COLEC11	-4.27745346574676	0
CLEC14A	-4.27745346574676	0.779025781673865
PAPSS2	-4.27745346574676	1
FMOD	-4.27745346574676	0.860085755983216
APLN	-4.27745346574676	0.860085755983216
WDR31	-4.27745346574676	1
AC098650.1	-4.27745346574676	1
DPT	-4.27745346574676	1
VWF	-4.10752846430445	1
RBPMS	-4.10752846430445	1
IL13	-4.10752846430445	1
C1orf115	-4.01441905991296	1
PLSCR4	-4.01441905991296	0.154039145235413
EDNRA	-4.01441905991296	1
EMILIN1	-3.91488338636205	0.291922232518541
ID1	-3.89412482619525	1
COL16A1	-3.6924909650256	0.671697797270082
DLC1	-3.6924909650256	1
DCBLD2	-3.6924909650256	1
SGCE	-3.6924909650256	1
NRIP2	-3.6924909650256	1
FERMT2	-3.6924909650256	0.8161787810002
DPY19L2	-3.6924909650256	1
ABCG2	-3.6924909650256	1
TBC1D9	-3.6924909650256	0.243100342564854
VLDLR	-3.6924909650256	1
DENND2C	-3.6924909650256	1
PCAT19	-3.6924909650256	1
HIF3A	-3.6924909650256	1
LAMA2	-3.6924909650256	1
RBP7	-3.6924909650256	1
DNM1	-3.6924909650256	1
MARC2	-3.6924909650256	1
ECSCR	-3.6924909650256	1
LRP6	-3.6924909650256	1
SYNPO2	-3.6924909650256	1
OLFML1	-3.6924909650256	0.017444992583407
CNKSR3	-3.6924909650256	1
SNX22	-3.6924909650256	1
MDFI	-3.6924909650256	0.015371623754166
WASF1	-3.6924909650256	0.988235268940214
PTPN21	-3.6924909650256	0.017694149166043
MRVI1	-3.6924909650256	0.60772135613662
GLI1	-3.6924909650256	0.56893141452157
AC022167.3	-3.6924909650256	0.671697797270082
AC073107.1	-3.6924909650256	0.763831945405589
EHD2	-3.6924909650256	1
XYLB	-3.6924909650256	1
RAD9B	-3.6924909650256	1
AL138694.1	-3.6924909650256	1
NME8	-3.6924909650256	1
GAS6-AS2	-3.6924909650256	1
TEX9	-3.6924909650256	1
KBTBD11	-3.6924909650256	1
FAM69B	-3.6924909650256	1
PRICKLE1	-3.6924909650256	1
COL7A1	-3.6924909650256	1
SLC22A4	-3.6924909650256	1
RNF180	-3.6924909650256	1
AC009812.4	-3.6924909650256	1
LINC00632	-3.6924909650256	1
RSPH1	-3.6924909650256	1
TNXB	-3.6924909650256	1
HEY2	-3.6924909650256	1
CLEC3B	-3.6924909650256	1
STC1	-3.6924909650256	1
AC104452.1	-3.6924909650256	1
POF1B	-3.6924909650256	1
FNDC1	-3.6924909650256	1
LINC01220	-3.6924909650256	1
LSMEM1	-3.6924909650256	0.95525271988759
OSR2	-3.6924909650256	1
OLFM1	-3.6924909650256	1
LINC01366	-3.6924909650256	0.462135727051921
AC100821.2	-3.6924909650256	1
CCDC184	-3.6924909650256	1
