	log2FoldChange	fdr
CCL4	-3.55226629409383	0.640424199870739
EIF2B1	-3.4378217861245	0.303756162996537
AGTRAP	-3.38659646276933	0.35052045199229
ASNSD1	-3.37787924566822	0.303951710033842
MAP4K1	-3.24037572191829	0.562656259906831
METTL8	-3.21122937625877	0.867014227323625
IGHA1	-3.1747873802907	0.040970746325409
PAFAH1B3	-3.0115570314224	1
GOLT1B	-3.00024171819457	1
IGKC	-2.95613991710287	0
DCTN5	-2.94229436898529	1
IGHG3	-2.91844762703092	8.20273842599972E-07
DCAF11	-2.91844762703092	1
ARHGAP1	-2.91844762703092	1
BCL2A1	-2.91844762703092	1
THUMPD3	-2.85704708236678	1
CMPK2	-2.84444704558714	0.425596236834353
UIMC1	-2.84444704558714	1
CCL4L2	-2.84444704558714	1
ST8SIA1	-2.83173599383759	1
SPART	-2.79291674494706	1
SYNE3	-2.77974135619933	1
ABTB1	-2.76644453358587	1
AGA	-2.7394774859856	1
POM121C	-2.7394774859856	1
SF3A2	-2.7394774859856	1
ACLY	-2.72580254908852	1
ACP5	-2.72580254908852	1
PHF5A	-2.71199674956349	1
MRPL24	-2.69805755860562	1
FADD	-2.69805755860562	1
ENTPD1	-2.68398237339389	1
FAM160B1	-2.6697685141742	1
CLPTM1	-2.65541322119713	1
TARS	-2.64576305116341	0.644563458967906
LPAR2	-2.64091365150201	1
CNOT9	-2.62626687553761	1
HEXB	-2.62626687553761	1
ZNF302	-2.59651953214356	1
CHTF8	-2.58141263975335	1
GART	-2.58141263975335	1
ETV7	-2.58141263975335	1
PRDM1	-2.56614588310004	0.306928171691752
PRPF19	-2.56614588310004	1
BLVRB	-2.56614588310004	1
PI4KB	-2.56614588310004	1
ARPC1A	-2.55071584253043	1
LINC01943	-2.55071584253043	1
LMNB1	-2.51935167162109	1
ZC3H4	-2.51935167162109	1
TP53INP1	-2.50341012775207	1
GCH1	-2.4872904623888	1
CHID1	-2.4872904623888	1
SH2D3C	-2.4872904623888	1
BTBD1	-2.4709886500597	1
MPPE1	-2.4709886500597	1
RNF6	-2.4709886500597	1
PIP4P2	-2.4709886500597	1
TBRG4	-2.45450052727113	1
ACOT8	-2.45450052727113	1
RNFT1	-2.45450052727113	1
UFD1	-2.4489623437297	0.17548362382151
PSMA6	-2.4378217861245	1
LETM1	-2.4378217861245	1
DCAF16	-2.4378217861245	1
UBE2G1	-2.4209479675601	0.863540107715708
SLC35A4	-2.4209479675601	1
ORC2	-2.4209479675601	1
JCHAIN	-2.4209479675601	1
CCDC69	-2.40387445420116	1
COQ9	-2.40387445420116	1
TDRD7	-2.40387445420116	1
APBA3	-2.38659646276933	1
C1orf174	-2.38659646276933	1
THAP1	-2.36910903604048	1
ELP5	-2.36910903604048	1
THUMPD2	-2.36910903604048	1
FBXO33	-2.36910903604048	1
SCAF4	-2.36910903604048	1
DEAF1	-2.36910903604048	1
PRPF4	-2.36910903604048	1
TRMT2A	-2.35140703430703	1
FKBP15	-2.35140703430703	1
ZDHHC21	-2.35140703430703	1
TOMM70	-2.35140703430703	1
RBBP5	-2.33348512630976	1
UBL4A	-2.33348512630976	1
TMEM191B	-2.3153377795995	1
KIF5C	-2.3153377795995	1
FAM104B	-2.29695925028465	1
PAQR8	-2.29695925028465	1
TTC9	-2.29695925028465	1
UMPS	-2.29695925028465	1
HMGCS1	-2.29695925028465	1
HPRT1	-2.2783435721173	1
NAA60	-2.2783435721173	1
