	log2FoldChange	fdr
ENTPD1	-6.41117484148701	0
CXCL13	-5.04644194800731	0
MYO7A	-4.75141531025667	8.01197850864854E-07
LAYN	-4.72510403314082	1.59992133459209E-05
WHRN	-4.16427843830117	0.000533501485526
CLECL1	-4.13792711135422	0.001364220040261
NPDC1	-3.76008017138379	0.016766997839945
UBASH3B	-3.73392788352782	0.015069515217431
VRK2	-3.72510403314082	0.010615865268461
NHS	-3.64316241960464	0.024033494605941
JCHAIN	-3.64316241960464	0.026438010083169
C3orf14	-3.61478061823482	0.026476695971292
HRASLS2	-3.61478061823482	0.050473749135024
LINC02195	-3.61391178650673	8.72489670698896E-13
P2RX7	-3.54630088035205	0.037266374684356
MIR3142HG	-3.50565889585471	0.069168760040744
TSHZ2	-3.48490033568791	0.126462743203427
CBWD3	-3.3650605656819	0.078129803835461
PEX14	-3.34216016357183	0.087122754445942
SPHK2	-3.24674059849314	0.118544577738809
MCM4	-3.20926589307448	0.273861035020696
SYNGR3	-3.19655484132492	0.003645195557291
PTGIS	-3.19655484132492	0.252576575995008
MPI	-3.1577355924344	0.176646562383984
UBALD1	-3.1577355924344	0.176646562383984
CDK7	-3.14456020368667	0.17665681629031
SLC16A6	-3.04880122088124	0.304239843368451
PCLAF	-3.02023206868447	0.304239843368451
TXNL4B	-3.02023206868447	0.304239843368451
GPR89B	-3.02023206868447	0.304239843368451
MYO1E	-3.00573249898935	0.0202513615566
ARMC6	-2.99108572302495	0.255804728387876
KTI12	-2.99108572302495	0.304594702484901
KLHDC10	-2.97628872109687	0.324887400606374
IGKC	-2.96305485221991	0
MTERF3	-2.94623148724069	0.351673945182189
LAMP3	-2.94623148724069	0.381413414070681
AC091132.5	-2.93096473058738	0.325223486081955
C21orf33	-2.93096473058738	0.351712124666313
AGMAT	-2.93096473058738	0.381628922208688
AL390728.6	-2.92327033879738	0.018612483314087
TOR1B	-2.91553469001777	0.381715892577173
MIR181A1HG	-2.89993783496675	0.381715892577173
C16orf58	-2.89993783496675	0.381715892577173
MICB	-2.87622176599295	0.020807420327434
DRAXIN	-2.86822897523941	0.051272856476584
LYL1	-2.86822897523941	0.403523885579898
SLC35F5	-2.85210930987613	0.403523885579898
PRRG4	-2.83580749754704	0.549872479535044
TNFRSF9	-2.80264063361184	0.001559951859803
L3HYPDH	-2.80264063361184	0.005725176169588
TAOK2	-2.80264063361184	0.065156173480653
PUS1	-2.80264063361184	0.469608346558421
CHEK1	-2.80264063361184	0.595356509933748
VCAM1	-2.79141337818859	0.000207040856488
GSTM4	-2.78576681504744	0.469608346558421
FEN1	-2.78576681504744	0.469608346558421
KIF5C	-2.78576681504744	0.597047122317206
IGHM	-2.7686933016885	0.052469903240864
PDCD1	-2.75627404243443	2.56027837819417E-14
WARS	-2.75299461533051	4.1786583500509E-05
ZNF714	-2.75141531025666	0.511682951894786
MAPK11	-2.75141531025666	0.511682951894786
FAM118A	-2.71978370120755	0
ETV7	-2.71622588179437	6.63770860191715E-06
NUP35	-2.71622588179437	0.554584401775134
U62317.2	-2.71622588179437	0.554584401775134
LRRC8B	-2.71622588179437	0.554584401775134
CD109	-2.71622588179437	0.599816865454271
KLF16	-2.6983039737971	0.599816865454271
RNF135	-2.6983039737971	0.599816865454271
CTLA4	-2.69673497414176	5.3745363715052E-11
RIOX1	-2.66177809777198	0.599816865454271
HDAC4	-2.66177809777198	0.647322429743559
CXorf40A	-2.66177809777198	0.647322429743559
CDCA4	-2.64316241960464	0.008409801764717
CTU2	-2.64316241960464	0.599816865454271
NR5A2	-2.64316241960464	0.647776293639077
SMCO4	-2.64316241960464	0.697283321100824
HIC1	-2.64316241960464	0.697283321100824
PCGF1	-2.62430339235333	0.697283321100824
LINC02539	-2.62430339235333	0.798284512031928
