	log2FoldChange	fdr
AQP3	-4.02054737740409	0.004262203120741
RASGRP2	-3.53074210972327	0.366382782434067
MTFMT	-3.46800635437531	0.401125831978179
TIMM8A	-3.46800635437531	0.401125831978179
LINC02195	-3.31600326093025	0.00994439663464
CD40LG	-3.14607825948794	0.260287046855862
PCK2	-3.14607825948794	0.61515941259249
LINC01358	-3.1054362749906	0.631657320353949
SREBF2	-3.0846777148238	0.152273599186924
CXorf21	-3.06361609929597	0.202541761927357
ENTPD5	-3.06361609929597	0.649259815967647
HRASLS2	-2.97615325804564	0.058774777065168
PRMT6	-2.9303495684325	0.760158315300733
TOX2	-2.9303495684325	0.760158315300733
CD28	-2.89898539752317	0.068268793615637
SEC61A2	-2.88304385365415	0.784677933804737
LINC00513	-2.85879630740747	0.02448139071428
FUT7	-2.85879630740747	0.407254925606854
TIMD4	-2.85879630740747	0.451464333116863
SGF29	-2.78350818010324	0.192159109729804
TFB1M	-2.78350818010324	0.353863920283561
FAM200A	-2.78350818010324	0.843042779905477
MIR3142HG	-2.78350818010324	0.85285846647909
DHRS1	-2.7662301886714	0.177540691241826
SBK1	-2.7310407602091	0.411298382885195
JAML	-2.68887130596516	0.000240447580718
PASK	-2.67659297618673	0.627022881062041
URB1	-2.67659297618673	0.85285846647909
KIAA1147	-2.62000944782035	0.513661827429617
SNN	-2.62000944782035	0.85285846647909
UAP1L1	-2.56111575876679	0.576992657495738
WDR76	-2.49971521410264	0.577999663211963
INTS5	-2.49971521410264	0.64087592295197
ICA1	-2.49971521410264	0.866724483167301
NPDC1	-2.43558487668293	0.274964787068899
SLC7A1	-2.43558487668293	0.894257211421458
LPAR5	-2.40241801274773	0.713954861222386
CD70	-2.36847068082439	0.347034485456258
ITPR3	-2.36847068082439	0.787348348800569
FAM24B	-2.36847068082439	0.848071114297094
AL355001.2	-2.36847068082439	0.927769997505057
HLA-DRB1	-2.33483990294311	1.98784779486767E-12
MORC2	-2.33370526266372	0.519355670108362
GZMB	-2.30677469364427	1.53755721256138E-09
LAIR2	-2.298081352933	0.185707838941481
FEN1	-2.298081352933	0.788612976422697
SASS6	-2.298081352933	0.85285846647909
ACOT4	-2.298081352933	0.959519899841282
SST	-2.298081352933	0.964038023460416
IGKC	-2.27213808568071	0
MIR155HG	-2.26155547690788	0.085207194611782
LINC01550	-2.26155547690788	0.35894534190015
LRRC8B	-2.26155547690788	0.85285846647909
THEM6	-2.26155547690788	0.85285846647909
MCM4	-2.26155547690788	0.866724483167301
PDCD1	-2.25537690197876	0.002778134539048
KLF2	-2.2541380053454	0.011977052718693
FBXO48	-2.22408077148922	0.974414989992095
KLHL12	-2.18560662367458	0.559336179384344
FAM193B	-2.18560662367458	0.85285846647909
GRAP	-2.18560662367458	0.85285846647909
FOXP3	-2.17255047084913	0.85285846647909
LRRC8C	-2.16597781692565	0.401125831978179
VPS50	-2.14607825948794	0.753169385202175
