	log2FoldChange	fdr
IGKC	-3.96406063446794	0.156103641888543
IFI27	-3.80080333721883	1
IFI44L	-2.86440176420965	1
ALOX5AP	-2.75169393131676	1
IFI6	-2.63666068837052	1
CCL3	-2.4867469436482	1
MT2A	-2.40049714726147	1
YBX1	-2.39197559241562	1
SRSF9	-2.38769586503838	1
IFIT3	-2.37218286566706	1
CXCL13	-2.34615493640681	1
PSMA5	-2.3192339857181	1
IFI35	-2.2974980560668	1
PSMA2	-2.26426752650017	1
PET100	-2.23597848206875	1
PLSCR1	-2.22162318909168	1
SLC3A2	-2.21003521481646	1
FAM107B	-2.18065140803537	1
BST2	-2.17966156577295	1
ATP5C1	-2.17171828326536	1
OAS1	-2.15670571241034	1
KLRD1	-2.1461031814507	1
AKAP5	-2.13542215404237	1
EIF3G	-2.12620362401299	1
IRF7	-2.11692581042498	1
KLRC1	-2.11589124957686	1
NSA2	-2.09188925948766	1
HERC5	-2.05673880434989	1
CHMP5	-2.04374146382102	1
SNRPF	-2.01739013687407	1
SAMSN1	-2.01572708765142	1
PRF1	-2.00671334408644	1
MRPL20	-1.99393116405008	1
NDUFA12	-1.98375935899279	1
NT5C3A	-1.97351532749599	1
PRELID1	-1.96779261058772	1
KRTCAP2	-1.96319803651047	1
RANBP1	-1.95974247787425	1
RBCK1	-1.95280643066388	1
KIF5B	-1.95280643066388	1
CTSS	-1.94583687584904	1
SYF2	-1.93883348811127	1
GOLGA4	-1.93531900393504	1
DOK2	-1.93179593737134	1
PGAM1	-1.91880391715202	1
TYMP	-1.91608953245499	1
CD2BP2	-1.91405038718139	1
SPATS2L	-1.91405038718139	1
POLR2K	-1.90689059560852	1
WNK1	-1.90689059560852	1
AURKAIP1	-1.89246352497324	1
SUMO1	-1.88154774749406	1
CDV3	-1.88154774749406	1
CLIC3	-1.87789072388596	1
CDK2AP2	-1.85946524941578	1
CAPG	-1.85575174661672	1
YWHAQ	-1.83703948635455	1
RSBN1L	-1.82948609192291	1
NDFIP2	-1.81042775610723	1
IFITM2	-1.76890848666896	1
ATP5J2	-1.76759155819697	1
ARHGAP9	-1.76363354462828	1
TGOLN2	-1.76363354462828	1
LAMTOR1	-1.75568479151279	1
LMAN2	-1.75568479151279	1
SPCS3	-1.75568479151279	1
NMI	-1.75568479151279	1
WDR1	-1.75169393131676	1
CDC42SE1	-1.73965468169385	1
PTPRA	-1.73965468169385	1
TMBIM6	-1.73642717466345	1
LAG3	-1.71994701027636	1
LSM2	-1.71936327770077	1
CCT3	-1.71527052306689	1
PPA1	-1.71116612473415	1
GBP4	-1.71116612473415	1
CD7	-1.70705001626192	1
MIR155HG	-1.70292213063924	1
CTSD	-1.70043971814109	1
ACTB	-1.69963254469944	1
HMGN2	-1.69463075700785	1
