	log2FoldChange	fdr
IGKC	-4.65613451955316	0
IGHG3	-4.59250930977451	1.51867729503152E-09
CRTC3	-3.17328401353222	0.684576473851515
TM7SF3	-3.10457126344821	0.684576473851515
MIR155HG	-3.10457126344821	0.976560000545492
ACTR1A	-3.01380579952503	1
KCNA3	-2.99494677227372	1
IRAK1	-2.95647262445908	1
GZMB	-2.92047595124269	7.29847179960682E-07
CRK	-2.91694426027245	1
JCHAIN	-2.91694426027245	1
ACSL4	-2.89676637833481	1
IPO9	-2.89676637833481	1
LRRC8C	-2.8763022757751	1
MED21	-2.8555437156083	1
ILKAP	-2.8555437156083	1
ZNF493	-2.81310844928791	1
PHC2	-2.81310844928791	1
TOR3A	-2.81310844928791	1
MRPS22	-2.79141337818859	1
IGHG1	-2.78776560117344	0.000200943608451
APBA3	-2.76938707185858	1
ZFP90	-2.74701925883013	1
CARNMT1	-2.72429918233005	1
ZZZ3	-2.65390985443865	1
FBXL3	-2.65390985443865	1
LINS1	-2.64183702213808	0.455432857225213
FAM53B	-2.63779018907537	0.580541661085816
CD24	-2.62966230819197	1
ETV7	-2.62966230819197	1
TNRC18	-2.6050002539577	1
GLT8D1	-2.6050002539577	1
YBEY	-2.6050002539577	1
CHTF8	-2.57990927299487	1
ORC3	-2.57990927299487	1
NDEL1	-2.57990927299487	1
C15orf61	-2.57990927299487	1
GCDH	-2.57990927299487	1
APC	-2.57990927299487	1
DUSP16	-2.55437418088774	1
CLASP1	-2.55437418088774	1
TRAPPC6B	-2.55437418088774	1
THADA	-2.5019067609936	1
CHSY1	-2.5019067609936	1
FYCO1	-2.5019067609936	1
BISPR	-2.5019067609936	1
IGLC2	-2.49611860863219	0
FN3KRP	-2.47493971339333	1
RUVBL2	-2.47493971339333	1
CD200R1	-2.47493971339333	1
PKNOX1	-2.47493971339333	1
IMPA1	-2.44745897697122	1
ORC2	-2.44745897697122	1
AMDHD2	-2.41944460080163	1
AGPS	-2.41944460080163	1
PI4KA	-2.41944460080163	1
KEAP1	-2.41944460080163	1
INTS3	-2.39087544860485	1
APEX2	-2.39087544860485	1
CBR1	-2.39087544860485	1
PUS3	-2.39087544860485	1
ITPR2	-2.37151012373792	1
ARHGAP11B	-2.36172910294533	1
SNUPN	-2.36172910294533	1
AGPAT1	-2.36172910294533	1
ARAP1	-2.33198175955129	1
ADSL	-2.33198175955129	1
MINDY3	-2.33198175955129	1
CCDC28A	-2.31687486716108	1
POLR2M	-2.30160811050777	1
SLC25A32	-2.30160811050777	1
MCUR1	-2.30160811050777	1
FBXO25	-2.30160811050777	1
KANSL2	-2.30160811050777	1
ATMIN	-2.30160811050777	1
ZNF770	-2.30160811050777	1
KLF3	-2.30160811050777	1
TAF2	-2.30160811050777	1
NDFIP2	-2.30160811050777	1
SEPHS1	-2.27058121488714	1
MOCS2	-2.27058121488714	1
PXN	-2.27058121488714	1
NCSTN	-2.27058121488714	1
SPOUT1	-2.27058121488714	1
SESN3	-2.27058121488714	1
GPR132	-2.27058121488714	1
