"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AL627309.1","OK",0.671514344613311,-0.444098583189542,-0.00143278617979082,"AL627309.1",0.680896580633415
"AL627309.3","FAIL",NA,NA,NA,"AL627309.3",1
"AL627309.4","FAIL",NA,NA,NA,"AL627309.4",1
"AL669831.5","OK",0.0219805009297083,2.01446246496894,0.00637499536526479,"AL669831.5",0.0291145983021267
"FAM87B","OK",0.563202146013019,-0.159092866977417,-0.000526972173324446,"FAM87B",0.600125260872866
"LINC00115","OK",0.523758316482185,-0.0595885134696088,-0.00027821709211654,"LINC00115",0.592612854312177
"FAM41C","OK",0.0524801278515005,1.62126762232966,0.00507626951003395,"FAM41C",0.0678862827323596
"AL645608.3","OK",0.603682278789412,-0.262889898443965,-0.000848064402728487,"AL645608.3",0.625436058010673
"AL645608.5","OK",NA,NA,-8.76072509345561e-05,"AL645608.5",NA
"SAMD11","OK",4.9692665878716e-09,5.73177452446097,0.0182181601811836,"SAMD11",8.30981988736905e-09
"NOC2L","OK",1.05359735756755e-19,9.00754558659125,0.0288947122529578,"NOC2L",2.18242873670646e-19
"KLHL17","OK",0.610265919058118,-0.280012177877113,-0.000984969732670017,"KLHL17",0.629911063792691
"PLEKHN1","OK",0.000330908156602558,3.40492746051086,0.0108399706261656,"PLEKHN1",0.000478223374501875
"PERM1","OK",0.00506284617791481,2.57150715308085,0.0079403705603831,"PERM1",0.00696858950500923
"AL645608.8","OK",2.54230631026733e-05,4.0517032623046,0.0128332237839733,"AL645608.8",3.83357383801254e-05
"HES4","OK",0,62.8738520233566,0.202170935046273,"HES4",0
"ISG15","OK",0,82.5098879706623,0.265436751741296,"ISG15",0
"AGRN","OK",6.7639702688641e-248,33.6063968488206,0.107991527708111,"AGRN",4.26919361476155e-247
"AL645608.9","FAIL",NA,NA,NA,"AL645608.9",1
"RNF223","OK",6.0510635584968e-22,9.55716948829513,0.0297157220756858,"RNF223",1.29566714771551e-21
"C1orf159","OK",0.00529466213319341,2.5559667311852,0.00811440180780391,"C1orf159",0.00727882195511751
"LINC01342","OK",0.536460040538816,-0.0915193660560155,-0.0002777103869777,"LINC01342",0.592612854312177
"AL390719.2","OK",7.30842028033673e-15,7.69084326621981,0.0242888304238787,"AL390719.2",1.39536608161256e-14
"TTLL10","OK",3.09287780100731e-38,12.8754747407081,0.0409210033250419,"TTLL10",7.96477547618917e-38
"TNFRSF18","OK",0,135.912257767324,0.437203984987505,"TNFRSF18",0
"TNFRSF4","OK",0,152.816694302284,0.491521975756592,"TNFRSF4",0
"SDF4","OK",2.80852553157831e-139,25.0951578286539,0.0806689939656237,"SDF4",1.26965775139607e-138
"B3GALT6","OK",6.1561020685102e-17,8.28005148209264,0.0265485194504958,"B3GALT6",1.21944040294442e-16
"C1QTNF12","OK",1.77825122878774e-17,8.42666695365556,0.0267782176270684,"C1QTNF12",3.55528208908514e-17
"AL162741.1","OK",0.597156746344374,-0.245994477734241,-0.000827706417735542,"AL162741.1",0.620747146916139
"UBE2J2","OK",1.03471180705921e-10,6.3560984969576,0.0203642128430953,"UBE2J2",1.80256944142819e-10
"LINC01786","OK",0.569674067671491,-0.175544427454444,-0.000593827287499898,"LINC01786",0.603280015683892
"SCNN1D","OK",0.0315229543869132,1.85886759182022,0.00583020889944867,"SCNN1D",0.0413672849943579
"ACAP3","OK",2.77855272100213e-07,5.00600589970997,0.0160062971942534,"ACAP3",4.4427650650303e-07
"PUSL1","OK",7.36727888338261e-29,11.0856082351846,0.0355642769414857,"PUSL1",1.72156432071527e-28
"INTS11","OK",1.16102706083199e-18,8.7404394467399,0.0280360743892873,"INTS11",2.36366425591962e-18
"CPTP","OK",2.35585780570257e-15,7.83437740053033,0.0251093147703198,"CPTP",4.53663911536284e-15
"TAS1R3","OK",1.34805474305677e-110,22.3141005604053,0.0712437561600877,"TAS1R3",5.42868885765337e-110
"DVL1","OK",1.53105790982998e-47,14.4362127959915,0.0463345673673519,"DVL1",4.29121274809824e-47
"MXRA8","OK",0,114.487075518668,0.368146150783847,"MXRA8",0
"AURKAIP1","OK",6.80598237108274e-230,32.350587180414,0.10402039134206,"AURKAIP1",4.08579330272271e-229
"CCNL2","OK",3.41102369430083e-56,15.7504257492508,0.0505914553822285,"CCNL2",1.02340747679678e-55
"MRPL20","OK",1.83483335041021e-104,21.6732443941315,0.0696595441845049,"MRPL20",7.21932404300895e-104
"AL391244.3","OK",0.0258167034055295,1.94617762383029,0.00607640409015704,"AL391244.3",0.0340521332739772
"ANKRD65","OK",4.20930897755105e-290,36.3812762720036,0.116876757812505,"ANKRD65",2.95187200753778e-289
"TMEM88B","FAIL",NA,NA,NA,"TMEM88B",1
"LINC01770","OK",0.530293624131212,-0.0760079771175274,-0.000232073596174498,"LINC01770",0.592612854312177
"VWA1","OK",0,55.2408112526686,0.17755681157597,"VWA1",0
"ATAD3C","OK",7.20184177735957e-08,5.26002370009274,0.0167883522311783,"ATAD3C",1.17100270583395e-07
"ATAD3B","OK",2.23021258748973e-09,5.86614546414369,0.018771290600245,"ATAD3B",3.76091336282793e-09
"ATAD3A","OK",6.88133304117368e-34,12.0782445162819,0.0387506550478926,"ATAD3A",1.69420529649469e-33
