"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AL627309.1","OK",0.521172752920743,-0.05309716012042,-0.000521691133959288,"AL627309.1",0.749795867700198
"AL627309.3","FAIL",NA,NA,NA,"AL627309.3",1
"AL627309.4","FAIL",NA,NA,NA,"AL627309.4",1
"AL669831.5","OK",0.242740496252478,0.697514301368071,0.00417056637788841,"AL669831.5",0.491496760030124
"FAM87B","FAIL",NA,NA,NA,"FAM87B",1
"LINC00115","OK",0.916295560160599,-1.38057758361424,-0.00905064661519638,"LINC00115",0.932079204279841
"FAM41C","OK",0.294727611673506,0.539625650596877,0.00310439419286278,"FAM41C",0.560881275426963
"AL645608.3","FAIL",NA,NA,NA,"AL645608.3",1
"AL645608.5","FAIL",NA,NA,NA,"AL645608.5",1
"SAMD11","OK",0.6679274661854,-0.434197445931814,-0.00292820561811757,"SAMD11",0.775903072073457
"NOC2L","OK",0.319678698106421,0.468597455779367,0.00274880432997975,"NOC2L",0.592192249801911
"KLHL17","OK",0.783001824211906,-0.782371374704819,-0.00530022194515266,"KLHL17",0.842098244184814
"PLEKHN1","OK",0.0179557142941026,2.09792887771308,0.0132125760870394,"PLEKHN1",0.0629015563332727
"PERM1","OK",9.21551015996714e-05,3.73960424378339,0.0219054185780346,"PERM1",0.0005196800119322
"AL645608.8","OK",0.521293946409016,-0.0534013781431681,-0.000506202429578771,"AL645608.8",0.749795867700198
"HES4","OK",4.91114608691436e-44,13.8685644676886,0.088564574753724,"HES4",9.65373402420942e-43
"ISG15","OK",0,40.4017723768958,0.260959640640655,"ISG15",0
"AGRN","OK",0.00137557146234967,2.99425679036044,0.0189982552848415,"AGRN",0.0063797353886053
"AL645608.9","FAIL",NA,NA,NA,"AL645608.9",1
"RNF223","OK",0.527850857395057,-0.0698685502380153,-0.000566928970568682,"RNF223",0.749795867700198
"C1orf159","OK",0.901273821547679,-1.2888439106114,-0.00855529914848852,"C1orf159",0.921173219851939
"LINC01342","FAIL",NA,NA,NA,"LINC01342",1
"AL390719.2","OK",0.559596932862528,-0.149947375124215,-0.00110261990678527,"AL390719.2",0.749795867700198
"TTLL10","OK",0.0130615818414314,2.22437590374121,0.0125985263170529,"TTLL10",0.0475909272852239
"TNFRSF18","OK",0,73.4707152917573,0.474885650144599,"TNFRSF18",0
"TNFRSF4","OK",0,82.7349945687437,0.534733479164847,"TNFRSF4",0
"SDF4","OK",9.24890546199676e-18,8.50285863642907,0.0547130793110707,"SDF4",1.11967613243934e-16
"B3GALT6","OK",0.0588008882689883,1.56491953942351,0.00982968586967766,"B3GALT6",0.168411449222311
"C1QTNF12","OK",0.637342062106577,-0.351363214555078,-0.00239255651432617,"C1QTNF12",0.762486757595457
"AL162741.1","OK",0.538123613941631,-0.0957076410061721,-0.000768263205657205,"AL162741.1",0.749795867700198
"UBE2J2","OK",0.0244856267658449,1.9688418613095,0.0124495220211554,"UBE2J2",0.0818304958198419
"LINC01786","OK",0.525567760645725,-0.0641328078656047,-0.000562311311456332,"LINC01786",0.749795867700198
"SCNN1D","OK",0.689971705484839,-0.495770147596508,-0.00332836084456421,"SCNN1D",0.788095430231095
"ACAP3","OK",0.21130962016111,0.801885420727019,0.00489006965095983,"ACAP3",0.446308079142046
"PUSL1","OK",0.49984389490618,0.000391297451969184,-0.000278216381295378,"PUSL1",0.749795867700198
"INTS11","OK",0.008419485533104,2.39020499391513,0.01517332513626,"INTS11",0.0324125750569852
"CPTP","OK",0.959314290743852,-1.74278362043689,-0.0115329799913473,"CPTP",0.965643994986176
"TAS1R3","OK",0.53974585469677,-0.0997934722052267,-0.000730021188364987,"TAS1R3",0.749795867700198
"DVL1","OK",0.0569551867014211,1.58085859459926,0.00989676259506108,"DVL1",0.16421650168018
