"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AL627309.1","OK",0.616139026775149,-0.295355993702552,-0.00107639675064538,"AL627309.1",0.634867313862998
"AL627309.3","FAIL",NA,NA,NA,"AL627309.3",1
"AL627309.4","FAIL",NA,NA,NA,"AL627309.4",1
"AL669831.5","OK",0.0012924139403868,3.01323017219196,0.0107006843614427,"AL669831.5",0.00181796252720933
"FAM87B","OK",0.549941912451491,-0.125514590166965,-0.00050043771150272,"FAM87B",0.595437080546676
"LINC00115","OK",0.615335245248016,-0.293252039874759,-0.00116221104063546,"LINC00115",0.634283928550516
"FAM41C","OK",0.157818914709141,1.00346235928067,0.00345785951335829,"FAM41C",0.195794029204248
"AL645608.3","OK",1.1333345689842e-94,20.6092607715613,0.0620831892156808,"AL645608.3",4.10486228088876e-94
"AL645608.5","OK",NA,NA,-0.000139793188267416,"AL645608.5",NA
"SAMD11","OK",2.40531511981657e-10,6.22516058432738,0.0221147817048373,"SAMD11",4.16639077272841e-10
"NOC2L","OK",4.21895063305734e-22,9.59443390711352,0.034435999380222,"NOC2L",8.94859015479505e-22
"KLHL17","OK",0.00334812769521739,2.71158409053502,0.00961150946395948,"KLHL17",0.0046183245150248
"PLEKHN1","OK",0.00025436879428766,3.47611315410383,0.0123733020638526,"PLEKHN1",0.000368441781914832
"PERM1","OK",0.0127809581640597,2.23280333411497,0.00767405542844008,"PERM1",0.0170899422345112
"AL645608.8","OK",7.18103403414353e-12,6.75420488196512,0.0239516380649003,"AL645608.8",1.28773020574204e-11
"HES4","OK",0,66.8805723184947,0.240632905367625,"HES4",0
"ISG15","OK",0,81.4158744819163,0.293113200781182,"ISG15",0
"AGRN","OK",2.64214639708765e-258,34.311516875744,0.123358539462194,"AGRN",1.63138521141027e-257
"AL645608.9","FAIL",NA,NA,NA,"AL645608.9",1
"RNF223","OK",3.36326071590837e-12,6.86334774159499,0.0238240099819617,"RNF223",6.07740105433095e-12
"C1orf159","OK",0.0064164052842043,2.48837564953423,0.00881968389471458,"C1orf159",0.00872410623624836
"LINC01342","OK",0.530110885757403,-0.0755486028868879,-0.000288190447217684,"LINC01342",0.594145667571509
"AL390719.2","OK",2.94937013427355e-15,7.80609440462204,0.0275790616030238,"AL390719.2",5.63416274298316e-15
"TTLL10","OK",3.50695399734258e-63,16.7372637245309,0.0595392641864492,"TTLL10",1.07479583159455e-62
"TNFRSF18","OK",0,131.128535406479,0.472089321953619,"TNFRSF18",0
"TNFRSF4","OK",0,147.301777624007,0.530238281966552,"TNFRSF4",0
"SDF4","OK",1.05626724304253e-89,20.047733268691,0.0720900945235994,"SDF4",3.74214449661718e-89
"B3GALT6","OK",1.70806826658176e-18,8.69672044748048,0.0311956770255162,"B3GALT6",3.44557097152921e-18
"C1QTNF12","OK",2.67373051337895e-13,7.21616387663963,0.0256140796859526,"C1QTNF12",4.92958161660538e-13
"AL162741.1","OK",0.579214162778292,-0.199883526450899,-0.000775875523368167,"AL162741.1",0.608431677493918
"UBE2J2","OK",5.75284552144152e-23,9.79780656683198,0.035170215714223,"UBE2J2",1.23516977372127e-22
"LINC01786","OK",0.547615929736307,-0.119640241528671,-0.000491571883078358,"LINC01786",0.595050309676664
"SCNN1D","OK",0.00743648313518886,2.4354576311064,0.0085199467197635,"SCNN1D",0.0100785055739838
"ACAP3","OK",1.05092002927046e-05,4.25378831839117,0.015189401894063,"ACAP3",1.60098189889554e-05
"PUSL1","OK",1.5382344197738e-28,11.0195342101695,0.0395453040919368,"PUSL1",3.54383271531212e-28
"INTS11","OK",6.48544557969356e-22,9.54998991776619,0.0342771579796088,"INTS11",1.37015773070352e-21
"CPTP","OK",5.27910046293118e-12,6.79868004116148,0.0243577241342387,"CPTP",9.50026784846426e-12
"TAS1R3","OK",3.37993009357209e-85,19.5247867276451,0.06973582490318,"TAS1R3",1.17163408167402e-84
"DVL1","OK",9.88143879574721e-68,17.3498881091208,0.0623158810973797,"DVL1",3.10835591821064e-67
"MXRA8","OK",0,150.103782286487,0.540092730614407,"MXRA8",0
"AURKAIP1","OK",0,37.8118664732026,0.136074463132199,"AURKAIP1",0
"CCNL2","OK",3.45735558758371e-33,11.9447630797736,0.0429002254138565,"CCNL2",8.39534375710919e-33
"MRPL20","OK",2.7808497010654e-139,25.0955518236591,0.0902742754136102,"MRPL20",1.21684471657104e-138
"AL391244.3","OK",0.0232619296066546,1.99060928014631,0.00691347034170492,"AL391244.3",0.0306548596728249
"ANKRD65","OK",0,49.3248991773942,0.177316221972569,"ANKRD65",0
"TMEM88B","FAIL",NA,NA,NA,"TMEM88B",1
"LINC01770","OK",0.550175223122044,-0.126104059947652,-0.000381672550632428,"LINC01770",0.595476334337641
"VWA1","OK",0,55.5780845313075,0.199828566837719,"VWA1",0
"ATAD3C","OK",9.18183930658575e-18,8.50370312602671,0.0303960074431293,"ATAD3C",1.82961650888584e-17
"ATAD3B","OK",6.36460159951821e-11,6.43037200105052,0.0230195126909664,"ATAD3B",1.11642945064079e-10
"ATAD3A","OK",1.85533173699413e-52,15.1968451192924,0.0545647296801564,"ATAD3A",5.28800284583702e-52
"TMEM240","OK",0.00277985155185253,2.77267842657561,0.00950989550095121,"TMEM240",0.00385218571380629
"SSU72","OK",1.97524026387773e-205,30.5617244050816,0.109961800948234,"SSU72",1.06619858500118e-204
"AL645728.1","OK",0.230250330641323,0.73802268965998,0.00253634202077807,"AL645728.1",0.281627444730883
"FNDC10","OK",1.59839438634797e-75,18.3517449658611,0.0658342622590005,"FNDC10",5.25353649196243e-75
"MIB2","OK",1.33304288747441e-16,8.18754499156097,0.0293660249527411,"MIB2",2.60408684140478e-16
"MMP23B","OK",2.55730163695987e-289,36.3316873884245,0.130567806243729,"MMP23B",1.69314251285064e-288
"CDK11B","OK",4.00922744541185e-16,8.05391861137365,0.0288884973197901,"CDK11B",7.77212607080673e-16
"SLC35E2B","OK",7.89354046991982e-07,4.80100565624558,0.0171732110275911,"SLC35E2B",1.24507982073372e-06
"CDK11A","OK",2.92210669546418e-10,6.19457600751671,0.022191090930296,"CDK11A",5.05005999444116e-10
"SLC35E2","OK",0.131670341988669,1.11853004012869,0.00389636697988718,"SLC35E2",0.164373974604772
